timestamp,likes,comments,hasImages,postUrl,text
"","0","0",yes,"https://www.linkedin.com/feed/update/urn:li:activity:7493301000204668928/","Apple has been replaced by Nvidia 💡   Shift from Smartphones to Servers."
"","0","0",yes,"https://www.linkedin.com/feed/update/urn:li:activity:7493282775412715522/","World's Largest Military Budgets (2025)  🇺🇸 U.S. — $921B 🇨🇳 China — $251B 🇷🇺 Russia — $186B 🇩🇪 Germany — $107B 🇬🇧 UK — $94B 🇮🇳 India — $78B 🇸🇦 Saudi Arabia — $73B 🇫🇷 France — $70B 🇯🇵 Japan — $59B"
"","0","0",yes,"https://www.linkedin.com/feed/update/urn:li:activity:7493214734167474177/","Stock Market hits 2nd most expensive valuation in history, far surpassing the Crash of 1929 and only slightly behind the Dot Com Bubble 🚨 🚨"
"","0","0",yes,"https://www.linkedin.com/feed/update/urn:li:activity:7493192061756571648/","Apple has started testing memory chips from China’s 🇨🇳 CXMT in products including iPhones and MacBooks.  Apple has held early talks with CXMT about supplying components with the goal of using them in some devices sold in China.  Apple hopes to win the White House’s blessing to do business with the Chinese company which it currently does not have."
"","0","0",yes,"https://www.linkedin.com/feed/update/urn:li:activity:7493168513436569600/","Top US companies by revenue 💵"
"","0","0",yes,"","Sandisk $SNDK data center revenue jumped +103% from last quarter and +1,298% YoY 🤯"
"","0","0",yes,"","AI chip Market: Training vs Inference"
"","0","0",yes,"","The Longest Equation in Physics 💡   The model Lagrangian is a mathematical expression that summarizes the Standard Model of particle physics, which is the most successful theory of the fundamental interactions between elementary particles. It is composed of four different parts, each describing a different aspect of the Standard Model.  The model Lagrangian is written in a compact notation that uses symbols and operators from quantum field theory, such as covariant derivatives, field strength tensors, Dirac matrices, and gauge group generators. It also uses various constants and parameters that are determined by experiments, such as coupling constants, masses, and mixing angles.   It is one of the longest equations in physics because it contains many terms and factors that account for all the possible interactions and symmetries of the Standard Model.   It was transcribed by Thomas Gutierrez who derived it from Martinus Veltman's   Diagrammatica: The Path to Feynman Diagrams."
"2026-08-12T19:55:56.267+08:00","0","0",yes,"","Vera Rubin BOM & Server Costs 💡   Conventional Server BOM & Memory Cost Trends  > Surging Memory Share: Memory now accounts for roughly 69% of the Bill of Materials (BOM) cost for a conventional data center server (loaded with 16 DIMMs of 64GB DRAM and 3.84TB NAND), a sharp rise from 40% in 2025.  > Cost Escalation: Driven by rising DDR and NAND contract pricing, incremental memory costs alone are estimated to drive a 127% increase in overall conventional server costs (totaling $26,077 up from $11,513).  > Component Breakdown:  DRAM costs show a 315% YoY surge ($14,624 total, representing 56% of cost).  NAND NVMe Gen4 costs show a 227% YoY increase ($3,379 total, representing 13% of cost).  AI Server Superchip Memory Projections (GB300, VR200, VR300)  > GB300 (2026): Total HBM3E and LPDDR5X costs per superchip are estimated at $9.7k (53% to 58% of total cost), translating to approximately $350k per rack.  > VR200 (2026–2027): Combined HBM4 and SOCAMM2 costs sit at $24.3k (62% of cost) in 2026, climbing to 70% of the total in 2027. Per-rack memory costs move from $875k in 2026 to $1.143m in 2027.  > VR300 (2027): Assuming 756GB HBM4E 12-Hi and SOCAMM2, superchip memory costs could reach $35.5k (77% of total superchip cost), driving per-rack memory costs to a massive $1.273m.  Macro Rack-Level Trajectory  > Milestone Threshold: Total memory costs are projected to comfortably exceed US$1 million per Vera Rubin rack by 2027.  > Structural Shift: Across the AI server lineup, total memory costs as a percentage of the overall stack continue a heavy upward trajectory, moving from an already substantial 58% for the GG300 up to 77% for the VR300.  For reference, this is from late May.   $NVDA $MU $DRAM $EWY"
"","0","0",yes,"","Samsung Foundry’s 4nm Capacity Fully Booked as 5nm Orders Rise, Expanding into AI and Servers 💡   Samsung Electronics' foundry business is stepping up its sales push for its 5nm process. The move is read as offering 5nm as an alternative now that utilization of the in-demand 4nm node has hit its ceiling.  According to semiconductor industry sources on the 5th, Samsung Foundry's 4nm process is expected to remain at full capacity through next year.  ""As Samsung Electronics' HBM4 order volumes have surged, 4nm line utilization has shot up,"" one industry source said. ""The foundry's largest customer has become the memory division.""  On top of that, volumes for U.S.-based Nvidia's inference LPU ""Groq3"" have reportedly exceeded expectations, further contributing to the 4nm full-capacity situation.  In response, Samsung Foundry is presenting 5nm as an alternative to customers seeking 4nm. The strategy is to pitch the 5nm process — where yield and performance are already proven — as a value-oriented substitute for fabless customers who find it difficult to move up to the 2nm and 3nm nodes given the higher cost burden versus 4nm.  ""The 2–3nm leading-edge nodes carry a heavy burden for customers in terms of yield and cost, and the 4nm line is already full,"" the source said. ""Samsung Electronics is actively proposing its yield-stabilized 5nm process as an alternative, and fabless companies are viewing it favorably.""  The 5nm process is classified as a dedicated automotive line. Hyundai Motor's ADAS chip targeting mass production in 2030, Bos Semiconductor's SoC, and Telechips' automotive AP ""Dolphin7"" are all slated for volume production on SF5A, the automotive-specific process.  More recently, its scope of application has been broadening into server and high-performance AI/NPU chips.  ""The 5nm process is also well suited to implementing high-performance server chips, so licensing agreements with overseas fabless firms have been coming in one after another,"" another industry source explained. ""Over the past three to four months, customer demand for 5nm has clearly increased versus the past.""  Overloading on Taiwan's TSMC leading-edge lines and global geopolitical factors are also working in favor of Samsung Foundry's 5nm order intake. As supply-demand on TSMC's 3nm, 4nm and 5nm lines tightens, Chinese and Indian fabless firms are turning to Samsung's 5nm line both to meet their fine-node requirements and to circumvent sanctions.  ""For Chinese and Indian fabless companies that need to secure leading-edge-class performance amid U.S. sanctions on China, Samsung Foundry is a realistic alternative,"" a Samsung Foundry supply-chain partner said. ""Samsung is absorbing even the smaller-volume customers pushed out of TSMC, so it is reaping spillover benefits on the 5nm process."""
"","0","0",yes,"","Production will be handled by joint venture, 60% Sony & 40% TSMC"
"","0","0",yes,"","Entire AI infrastructure value chain 💡"
"","0","0",yes,"","Share of Online Articles (May 2025)  🤖 AI-generated articles — 51.7% 👤 Human-generated articles — 48.3%"
"","0","0",yes,"","Definitely AI cannot beat Human brain interms of Watts. 🎯"
"","0","0",yes,"https://www.linkedin.com/feed/update/urn:li:activity:7492240781072588800/","Anthropic confirms it is building an in-house silicon team to design custom chips that make Claude faster and more efficient at scale.  The company will co-design hardware and models while keeping $AMZN, $GOOGL, $NVDA and $AMD central to its multi-chip strategy."
"","0","0",yes,"https://www.linkedin.com/feed/update/urn:li:activity:7492195487429816320/","$8.3 Trillion is now sitting in money market funds, an all-time high 🚨 🤑 💰"
"","0","0",yes,"https://www.linkedin.com/feed/update/urn:li:activity:7492104884914343936/","Nvidia's Key Suppliers 💡   IP: $ARM Fab: $TSM $INTC Memory: $MU $SNDK $WDC Packaging: $ASX $AMKR $CAMT Equipment: $KLAC $LRCX $ASML $KEYS Networking: $COHR $GLW $FN $LITE $APH Servers OEMs: $DELL $SMCI $JBL Power Systems: $FLEX $ETN $VRT Power Electronics: $STM $ADI $MPWR $NVTS $ON"
"","0","0",yes,"https://www.linkedin.com/feed/update/urn:li:activity:7492059620933500929/","First offices of 6 companies worth a combined $22 trillion."
"","0","0",yes,"https://www.linkedin.com/feed/update/urn:li:activity:7492014288056983552/","Samsung Unveils zHBM at FMS 2026: Memory Moves Directly on Top of AI Accelerators.   At FMS 2026 on August 5, Samsung introduced zHBM, zNAND-O, and its V10 BV-NAND featuring more than 400 layers.  The centerpiece was zHBM, a new architecture that vertically stacks high-bandwidth memory directly on top of an AI accelerator, bringing memory physically closer to the compute engine to improve bandwidth, latency, and system integration.  Samsung also unveiled V10 BV-NAND, which adopts a wafer-bonding architecture to increase storage density by approximately 58% compared with the previous-generation V9."
"","0","0",yes,"https://www.linkedin.com/feed/update/urn:li:activity:7491916141448228864/","Microsoft reportedly generated $24B in sales from OpenAI during the fiscal year ended June representing ~70% of its AI revenue.  That concentration shows how much of Microsoft’s current AI monetization still depends on a single customer."
